timestamp,device_id,data_category,min_value,avg_value,max_value
1740787200,661,14211,1.0,1.0,1.0
1740787200,661,14215,0.0,0.0,0.0
1740787200,661,14221,12.4,12.5,12.7
1740787200,661,14223,60.0,61.5,62.5
1740787260,661,14211,1.0,1.0,1.0
1740787260,661,14215,0.0,0.0,0.0
1740787260,661,14221,12.4,12.6,13.2
1740787260,661,14223,58.5,59.5,60.1
1740787320,661,14211,1.0,1.0,1.0
1740787320,661,14215,0.0,0.0,0.0
1740787320,661,14221,11.0,11.5,12.2
1740787320,661,14223,57.5,58.8,60.3
1740787380,661,14211,1.0,1.0,1.0
1740787380,661,14215,0.0,0.0,0.0
1740787380,661,14221,10.5,11.1,11.3
1740787380,661,14223,58.5,59.7,61.2
1740787440,661,14211,1.0,1.0,1.0
1740787440,661,14215,0.0,0.0,0.0
1740787440,661,14221,10.8,11.2,11.6
1740787440,661,14223,62.8,63.6,64.8
