timestamp,device_id,data_category,min_value,avg_value,max_value
1774915320,565,14223,73.81,73.81,73.81
1774915320,565,14221,16.19,16.19,16.19
1774915320,565,14215,0,0,0
1774915320,565,14211,1,1,1
1774915380,565,14223,73.81,73.81,73.81
1774915380,565,14221,16.19,16.19,16.19
1774915380,565,14215,0,0,0
1774915380,565,14211,1,1,1
1774915440,565,14223,73.81,73.81,73.81
1774915440,565,14221,16.19,16.19,16.19
1774915440,565,14215,0,0,0
1774915440,565,14211,1,1,1
1774915500,565,14223,73.29,73.4633,73.81
1774915500,565,14221,13.95,14.6967,16.19
1774915500,565,14215,0,0,0
1774915500,565,14211,1,1,1
1774915560,565,14223,73.29,73.29,73.29
1774915560,565,14221,13.95,13.95,13.95
1774915560,565,14215,0,0,0
1774915560,565,14211,1,1,1
1774915620,565,14223,72.96,72.96,72.96
1774915620,565,14221,15.02,15.02,15.02
1774915620,565,14215,0,0,0
1774915620,565,14211,1,1,1
1774915680,565,14223,72.96,72.96,72.96
1774915680,565,14221,15.02,15.02,15.02
1774915680,565,14215,0,0,0
1774915680,565,14211,1,1,1
1774915740,565,14223,72.96,72.96,72.96
1774915740,565,14221,15.02,15.02,15.02
1774915740,565,14215,0,0,0
1774915740,565,14211,1,1,1
1774915800,565,14223,72.96,72.96,72.96
1774915800,565,14221,15.02,15.02,15.02
1774915800,565,14215,0,0,0
1774915800,565,14211,1,1,1
1774915860,565,14223,72.96,72.96,72.96
1774915860,565,14221,15.02,15.02,15.02
1774915860,565,14215,0,0,0
1774915860,565,14211,1,1,1
1774915920,565,14223,71.2,71.2,71.2
1774915920,565,14221,14.59,14.59,14.59
1774915920,565,14215,0,0,0
1774915920,565,14211,1,1,1
1774915980,565,14223,71.2,71.2,71.2
1774915980,565,14221,14.59,14.59,14.59
1774915980,565,14215,0,0,0
1774915980,565,14211,1,1,1
1774916040,565,14223,71.2,71.39,71.96
1774916040,565,14221,13.32,14.2725,14.59
1774916040,565,14215,0,0,0
1774916040,565,14211,1,1,1
1774916100,565,14223,71.96,71.96,71.96
1774916100,565,14221,14.49,14.49,14.49
1774916100,565,14215,0,0,0
1774916100,565,14211,1,1,1
1774916160,565,14223,71.96,71.96,71.96
1774916160,565,14221,14.49,14.49,14.49
1774916160,565,14215,0,0,0
1774916160,565,14211,1,1,1
1774916220,565,14223,71.96,71.96,71.96
1774916220,565,14221,14.49,14.49,14.49
1774916220,565,14215,0,0,0
1774916220,565,14211,1,1,1
1774916280,565,14223,71.85,72.3275,72.75
1774916280,565,14221,13.17,15.075,16.32
1774916280,565,14215,0,0,0
1774916280,565,14211,1,1,1
1774916340,565,14223,72.75,72.75,72.75
1774916340,565,14221,16.32,16.32,16.32
1774916340,565,14215,0,0,0
1774916340,565,14211,1,1,1
1774916400,565,14223,72.75,72.75,72.75
1774916400,565,14221,16.32,16.32,16.32
1774916400,565,14215,0,0,0
1774916400,565,14211,1,1,1
1774916460,565,14223,72.75,72.75,72.75
1774916460,565,14221,16.32,16.32,16.32
1774916460,565,14215,0,0,0
1774916460,565,14211,1,1,1
1774916520,565,14223,72.75,72.75,72.75
1774916520,565,14221,16.32,16.32,16.32
1774916520,565,14215,0,0,0
1774916520,565,14211,1,1,1
1774916580,565,14223,72.75,72.75,72.75
1774916580,565,14221,16.32,16.32,16.32
1774916580,565,14215,0,0,0
1774916580,565,14211,1,1,1
1774916640,565,14223,72.75,72.75,72.75
1774916640,565,14221,16.32,16.32,16.32
1774916640,565,14215,0,0,0
1774916640,565,14211,1,1,1
1774916700,565,14223,72.75,72.75,72.75
1774916700,565,14221,16.32,16.32,16.32
1774916700,565,14215,0,0,0
1774916700,565,14211,1,1,1
1774916760,565,14223,72.74,72.745,72.75
1774916760,565,14221,12.26,14.29,16.32
1774916760,565,14215,0,0,0
1774916760,565,14211,1,1,1
1774916820,565,14223,72.74,72.74,72.74
1774916820,565,14221,12.26,12.26,12.26
1774916820,565,14215,0,0,0
1774916820,565,14211,1,1,1
1774916880,565,14223,0,0,0
1774916880,565,14221,0,0,0
1774916880,565,14215,0,0,0
1774916880,565,14211,1,1,1
1774916940,565,14223,72.74,73.98,75.35
1774916940,565,14221,12.26,13.2533,13.75
1774916940,565,14215,0,0,0
1774916940,565,14211,1,1,1
1774917000,565,14223,74.48,74.48,74.48
1774917000,565,14221,14.36,14.36,14.36
1774917000,565,14215,0,0,0
1774917000,565,14211,1,1,1
1774917060,565,14223,72.97,73.245,74.07
1774917060,565,14221,17.17,17.36,17.93
1774917060,565,14215,0,0,0
1774917060,565,14211,1,1,1
1774917120,565,14223,72.97,72.97,72.97
1774917120,565,14221,17.17,17.58,18.81
1774917120,565,14215,0,0,0
1774917120,565,14211,1,1,1
1774917180,565,14223,65.09,71.7075,74.47
1774917180,565,14221,14.37,15.4025,16.76
1774917180,565,14215,0,0,0
1774917180,565,14211,1,1,1
1774917240,565,14223,67.39,72,73.59
1774917240,565,14221,15.44,16.24,16.76
1774917240,565,14215,0,0,0
1774917240,565,14211,1,1,1
1774917300,565,14223,73.43,73.43,73.43
1774917300,565,14221,15.44,15.44,15.44
1774917300,565,14215,0,0,0
1774917300,565,14211,1,1,1
1774917360,565,14223,73.43,73.43,73.43
1774917360,565,14221,15.44,15.44,15.44
1774917360,565,14215,0,0,0
1774917360,565,14211,1,1,1
1774917420,565,14223,71.53,72.575,73.43
1774917420,565,14221,15.44,16.3075,17.64
1774917420,565,14215,0,0,0
1774917420,565,14211,1,1,1
1774917480,565,14223,71.04,71.365,71.83
1774917480,565,14221,14.28,16.01,18.49
1774917480,565,14215,0,0,0
1774917480,565,14211,1,1,1
1774917540,565,14223,71.83,71.97,72.11
1774917540,565,14221,14.17,14.225,14.28
1774917540,565,14215,0,0,0
1774917540,565,14211,1,1,1
1774917600,565,14223,72.11,72.68,72.87
1774917600,565,14221,14.17,15.8725,16.44
1774917600,565,14215,0,0,0
1774917600,565,14211,1,1,1
1774917660,565,14223,72.35,72.825,73.37
1774917660,565,14221,12.82,14.0525,14.95
1774917660,565,14215,0,0,0
1774917660,565,14211,1,1,1
1774917720,565,14223,74.85,74.85,74.85
1774917720,565,14221,14.07,14.07,14.07
1774917720,565,14215,0,0,0
1774917720,565,14211,1,1,1
1774917780,565,14223,74.85,74.85,74.85
1774917780,565,14221,14.07,14.07,14.07
1774917780,565,14215,0,0,0
1774917780,565,14211,1,1,1
1774917840,565,14223,0,0,0
1774917840,565,14221,0,0,0
1774917840,565,14215,0,0,0
1774917840,565,14211,1,1,1
1774917900,565,14223,74.24,74.6975,74.85
1774917900,565,14221,14.07,14.5075,15.82
1774917900,565,14215,0,0,0
1774917900,565,14211,1,1,1
1774917960,565,14223,73.07,73.35,73.49
1774917960,565,14221,14.08,14.1033,14.15
1774917960,565,14215,0,0,0
1774917960,565,14211,1,1,1
1774918020,565,14223,73.49,73.6725,73.78
1774918020,565,14221,12.31,14.155,15.67
1774918020,565,14215,0,0,0
1774918020,565,14211,1,1,1
1774918080,565,14223,72.57,73.34,74.08
1774918080,565,14221,12.72,13.4875,15.08
1774918080,565,14215,0,0,0
1774918080,565,14211,1,1,1
1774918140,565,14223,74.05,75.385,76.4
1774918140,565,14221,11.27,12.565,13.46
1774918140,565,14215,0,0,0
1774918140,565,14211,1,1,1
1774918200,565,14223,67.39,68.36,69.26
1774918200,565,14221,11.9,12.5167,13.21
1774918200,565,14215,0,0,0
1774918200,565,14211,1,1,1
1774918260,565,14223,69.26,69.26,69.26
1774918260,565,14221,13.55,13.55,13.55
1774918260,565,14215,0,0,0
1774918260,565,14211,1,1,1
1774918320,565,14223,72.06,72.8625,73.13
1774918320,565,14221,10.85,11.9975,12.38
1774918320,565,14215,0,0,0
1774918320,565,14211,1,1,1
1774918380,565,14223,72.28,72.9175,73.13
1774918380,565,14221,12.38,13.135,15.31
1774918380,565,14215,0,0,0
1774918380,565,14211,1,1,1
1774918440,565,14223,72.6,72.6,72.6
1774918440,565,14221,11.79,12.51,13.04
1774918440,565,14215,0,0,0
1774918440,565,14211,1,1,1
1774918500,565,14223,71.98,72.615,72.94
1774918500,565,14221,12.05,15.145,17.84
1774918500,565,14215,0,0,0
1774918500,565,14211,1,1,1
1774918560,565,14223,72.94,73.1175,73.21
1774918560,565,14221,12.5,13.995,15.62
1774918560,565,14215,0,0,0
1774918560,565,14211,1,1,1
1774918620,565,14223,73.21,73.21,73.21
1774918620,565,14221,12.03,13.7633,16.61
1774918620,565,14215,0,0,0
1774918620,565,14211,1,1,1
1774918680,565,14223,73.65,73.7533,73.96
1774918680,565,14221,12.8,13.57,14.49
1774918680,565,14215,0,0,0
1774918680,565,14211,1,1,1
1774918740,565,14223,73.96,73.96,73.96
1774918740,565,14221,12.36,13.2125,14.62
1774918740,565,14215,0,0,0
1774918740,565,14211,1,1,1
1774918800,565,14223,69.08,69.2825,69.35
1774918800,565,14221,12.86,12.86,12.86
1774918800,565,14215,0,0,0
1774918800,565,14211,1,1,1
1774918860,565,14223,69.2,69.5075,70.43
1774918860,565,14221,12.59,13.17,14.31
1774918860,565,14215,0,0,0
1774918860,565,14211,1,1,1
1774918920,565,14223,0,0,0
1774918920,565,14221,0,0,0
1774918920,565,14215,0,0,0
1774918920,565,14211,1,1,1
1774918980,565,14223,70.51,70.51,70.51
1774918980,565,14221,16.57,16.57,16.57
1774918980,565,14215,0,0,0
1774918980,565,14211,1,1,1
1774919040,565,14223,70.51,71.3925,73.67
1774919040,565,14221,11.58,14.08,16.57
1774919040,565,14215,0,0,0
1774919040,565,14211,1,1,1
1774919100,565,14223,70.83,72.04,73.39
1774919100,565,14221,10.25,11.1825,11.68
1774919100,565,14215,0,0,0
1774919100,565,14211,1,1,1
1774919160,565,14223,72.96,73.0125,73.03
1774919160,565,14221,10.68,11.875,13.69
1774919160,565,14215,0,0,0
1774919160,565,14211,1,1,1
1774919220,565,14223,71.8,72.065,72.49
1774919220,565,14221,10.64,11.9675,14.73
1774919220,565,14215,0,0,0
1774919220,565,14211,1,1,1
1774919280,565,14223,71.45,71.57,71.83
1774919280,565,14221,11.65,14.725,17.64
1774919280,565,14215,0,0,0
1774919280,565,14211,1,1,1
